Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://sportingnews.com,https://www.sportingnews.com/rss,Sporting News,Sports,Enabled,,,article,,,Sports,69,
https://fichajes.com,https://www.fichajes.com/canales-rss,Fichajes,Sports,Enabled,,,article,,,Sports,70,
https://okdiario.com,https://okdiario.com/feed,OKDiario,Top News,Enabled,,,article,,,Top News,71,
https://theguardian.com,https://www.theguardian.com/international/rss,The Guardian World News,World News,Enabled,,,article,,,Top News,72,
https://eleconomista.es,https://www.eleconomista.es/rss/rss-flash-del-mercado.php,El Economista,Business,Enabled,,,article,,,Business,73,
https://los40.com,https://los40.com/rss/los40/portada.xml,Los 40,Entertainment,Enabled,,,article,,,Entertainment,74,
https://france24.com,https://www.france24.com/es/rss,France24 español,Top News,Enabled,,,article,,,Top News,75,
https://makeuseof.com,https://www.makeuseof.com/feed/,MakeUseOf,Technology,Enabled,,,article,,,Technology,76,
https://ecartelera.com,https://www.ecartelera.com/rss/feed.xml,eCartelera,Entertainment,Enabled,,,article,,,Entertainment,77,
https://cinemascomics.com,https://www.cinemascomics.com/feed/,CinemasComics,Entertainment,Enabled,,,article,,,Entertainment,78,
https://elperiodico.com,https://www.elperiodico.com/es/rss/rss_portada.xml,El Periódico,Top News,Enabled,,,article,,,Top News,79,
https://pcgamer.com,https://www.pcgamer.com/rss,PC Gamer,Gaming,Enabled,,,article,,,Gaming,80,
https://gamerant.com,https://www.gamerant.com/feed/,Game Rant,Gaming,Enabled,,,article,,,Gaming,81,
https://screenrant.com,https://screenrant.com/feed/,Screen Rant,Entertainment,Enabled,,,article,,,Entertainment,82,
https://ignacioonline.com.ar,https://www.ignacioonline.com.ar/feed/,Ignacio Online,Top News,Enabled,,,article,,,Top News,83,
https://decine21.com,https://decine21.com/magazine?format=feed,DeCine21,Entertainment,Enabled,,,article,,,Entertainment,84,
https://muyinteresante.es,https://www.muyinteresante.com.mx/rss,Muy Interesante,Science,Enabled,,,article,,,Science,85,
https://motor1.com,https://www.motor1.com/rss/news/all/,Motor1,Cars,Enabled,,,article,,,Cars,86,
https://eltiempo.com,https://www.eltiempo.com/rss/mundo.xml,El Tiempo,Top News,Enabled,,,article,,,Top News,87,
https://laizquierdadiario.com,https://www.laizquierdadiario.com/spip.php?page=backend_portada,La Izquierda Diario,Top News,Enabled,,,article,,,Top News,88,
https://geeknetic.es,https://www.geeknetic.es/feeds.asp,Geeknetic,Technology,Enabled,,,article,,,Technology,89,
https://elgourmet.com,https://elgourmet.com/feed/,ElGourmet.com,Food,Enabled,,,article,,,Food,90,
https://lapaginamillonaria.com,https://lapaginamillonaria.com/rss/feed,La Página Millonaria,Business,Enabled,,,article,,,Business,91,
https://howtogeek.com,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Enabled,,,article,,,Technology,92,
https://rtve.es,https://www.rtve.es/rss/temas_noticias.xml,RTVE,Entertainment,Enabled,,,article,,,Entertainment,93,
https://informer.com,https://feed.informer.com/,Informer,Entertainment,Enabled,,,article,,,Entertainment,94,
https://eldinero.es,https://eldinero.es/feed/,El Dinero,Business,Enabled,,,article,,,Business,95,
https://rock.com.ar,https://rock.com.ar/feed/,Rock.com.ar,Music,Enabled,,,article,,,Entertainment,96,
https://educaciontrespuntocero.com,https://www.educaciontrespuntocero.com/feed/,Educación 3.0,Lifestyle,Enabled,,,article,,,Lifestyle,97,
https://eluniverso.com,https://www.eluniverso.com/arc/outboundfeeds/rss/?outputType=xml,El Universo,Top News,Enabled,,,article,,,Top News,98,
https://milenio.com,https://www.milenio.com/rss,Milenio,Top News,Enabled,,,article,,,Top News,99,
https://cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,,,article,,,Technology,100,
https://vogue.es,https://www.vogue.es/feed/rss,Vogue España,Lifestyle,Enabled,,,article,,,Lifestyle,101,
https://criptonoticias.com,https://www.criptonoticias.com/feed/,CriptoNoticias,Crypto,Enabled,,,article,,,Crypto,102,
https://applesfera.com,https://www.applesfera.com/index.xml,Applesfera,Technology,Enabled,,,article,,,Technology,103,
https://businessinsider.com,https://feeds.businessinsider.com/custom/all,Business Insider,Business,Enabled,,,article,,,Business,104,
https://diariodecuyo.com.ar,https://www.diariodecuyo.com.ar/rss/rss.xml,Diario de Cuyo,Top News,Enabled,,,article,,,Top News,105,
https://lifewire.com,https://www.lifewire.com/feeds/google-news,Lifewire,Technology,Enabled,,,article,,,Technology,106,
https://tomshardware.com,https://www.tomshardware.com/feeds/all,Tom's Hardware,Technology,Enabled,,,article,,,Technology,107,
https://techradar.com,https://www.techradar.com/rss,TechRadar,Technology,Enabled,,,article,,,Technology,108,
https://eldiarioar.com,https://www.eldiarioar.com/rss,El DiarioAR,Top News,Enabled,,,article,,,Top News,109,
https://diezminutos.es,https://www.diezminutos.es/rss/all,Diez Minutos,Entertainment,Enabled,,,article,,,Entertainment,110,
https://cosmopolitan.com,https://www.cosmopolitan.com/rss,Cosmopolitan,Lifestyle,Enabled,,,article,,,Lifestyle,111,
https://elle.com,https://www.elle.com/rss/all,Elle,Lifestyle,Enabled,,,article,,,Lifestyle,112,
https://stamboulian.com.ar,https://stamboulian.com.ar/rss,Stamboulian,Top News,Enabled,,,article,,,Top News,113,
https://pocket-lint.com,https://www.pocket-lint.com/rss/all.xml,Pocket-lint,Technology,Enabled,,,article,,,Technology,114,
https://cointelegraph.com,https://cointelegraph.com/rss,Cointelegraph,Crypto,Enabled,,,article,,,Crypto,115,
https://techtarget.com,https://www.techtarget.com/rss,TechTarget,Technology,Enabled,,,article,,,Technology,116,
https://forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,,,article,,,Business,117,
https://formulatv.com,https://www.formulatv.com/xml/formulatv.xml,FormulaTV,Entertainment,Enabled,,,article,,,Entertainment,118,
https://gsmarena.com,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Enabled,,,article,,,Technology,119,
