Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://theurbanlist.com,https://www.theurbanlist.com/articles/feed,The Urban List,Lifestyle,Enabled,,,article,,theurbanlist.com,Lifestyle,53,
https://aljazeera.com,https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,Top News,Enabled,,,article,,aljazeera.com,Top News,54,
https://theatlantic.com,https://www.theatlantic.com/feed/all/,The Atlantic,Top News,Enabled,,,article,,theatlantic.com,Culture,55,
https://bbcgoodfood.com,https://www.bbcgoodfood.com/feed/atom/,BBC Good Food,Food,Enabled,,,article,,bbcgoodfood.com,Food,56,
https://dotesports.com,https://dotesports.com/feed,Dot Esports,Sports,Enabled,,,article,,dotesports.com,Sports,57,
https://pcgamesn.com,https://www.pcgamesn.com/mainrss.xml,PC GamesN,Gaming,Enabled,,,article,,pcgamesn.com,Gaming,58,
https://linuxhint.com,https://linuxhint.com/feed/,LinuxHint,Technology,Enabled,,,article,,linuxhint.com,Technology,59,
https://indiatimes.com,https://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms,Indiatimes,Top News,Enabled,,,article,,indiatimes.com,Top News,60,
https://fool.com.au,https://www.fool.com.au/feed/,Motley Fool Australia,Business,Enabled,,,article,,fool.com.au,Business,61,
https://variety.com,https://www.variety.com/rss,Variety,Entertainment,Enabled,,,article,,variety.com,Entertainment,62,
https://radiotimes.com,https://www.radiotimes.com/feed/atom/,Radio Times,TV,Enabled,,,article,,radiotimes.com,Entertainment,63,
https://independent.co.uk,https://www.independent.co.uk/news/world/rss,The Independent World News,World News,Enabled,,,article,,independent.co.uk,World News,64,
https://windowscentral.com,https://www.windowscentral.com/rss.xml,Windows Central,Technology,Enabled,,,article,,windowscentral.com,Technology,65,
https://collider.com,https://www.collider.com/feed/,Collider,Entertainment,Enabled,,,article,,collider.com,Entertainment,66,
