Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains
https://yutura.net/,https://yutura.net/news/feed,yutura,Entertainment,Enabled,,,article,,yutura.net
https://clicccar.com/,https://clicccar.com/feed/custom_sub,clicccar,Cars,Enabled,,,article,,clicccar.com
https://markets.bitbank.cc,https://markets.bitbank.cc/article/rss.xml,ビットバンク マーケット情報,Crypto,Enabled,,,article,,markets.bitbank.cc
https://coinchoice.net/,https://coinchoice.net/feed/,CoinChoice,Crypto,Enabled,,,article,,coinchoice.net
https://www.bitcoin-trade.info,https://www.bitcoin-trade.info/feed,ARUTOKO,Crypto,Enabled,,,article,,www.bitcoin-trade.info
https://www.cryptostream.jp/,https://www.cryptostream.jp/feed/,クリプトストリーム,Crypto,Enabled,,,article,,www.cryptostream.jp
https://bitdays.jp/,https://bitdays.jp/feed/,BITDAYS ,Crypto,Enabled,,,article,,bitdays.jp
https://bitpress.jp/,https://bitpress.jp/rss2.xml,BITPRESS,Crypto,Enabled,,,article,,www.newsweekjapan.jp;www.businesslawyers.jp;bitpress.jp;www3.nhk.or.jp;about.decurret.com;www.nikkei.com;www.fsa.go.jp;www.coindeskjapan.com
https://www.neweconomy.jp/,https://www.neweconomy.jp/feed,あたらしい経済,Crypto,Enabled,,,article,,www.neweconomy.jp
https://coinpost.jp,https://coinpost.jp/rss.xml,CoinPost,Crypto,Enabled,,,article,,coinpost.jp
https://jp.cointelegraph.com,https://jp.cointelegraph.com/rss,コインテレグラフ ジャパン,Crypto,Enabled,,,article,,jp.cointelegraph.com
https://www.coindeskjapan.com,https://www.coindeskjapan.com/feed/,CoinDesk Japan,Crypto,Enabled,,,article,,www.coindeskjapan.com
https://tradebitlab.com/,https://tradebitlab.com/feed/,トレードビットラボ,Crypto,Enabled,,,article,,tradebitlab.com
https://wired.jp,https://wired.jp/rssfeeder/,WIRED.jp,Culture,Enabled,,,article,,wired.jp
https://kuragebunch.com/,https://kuragebunch.com/rss,くらげバンチ,Entertainment,Enabled,,,article,,kuragebunch.com
https://www.vogue.co.jp,https://www.vogue.co.jp/rss/vogue,VOGUE,Fashion,Enabled,,,article,,www.vogue.co.jp
https://www.legendsstadium.com,https://www.legendsstadium.com/rss/brave?escape=nofilter,LEGENDSSTADIUM,Sports,Enabled,,,article,,www.legendsstadium.com
https://the360.life/,https://the360.life/gdat/rss/360/channel.xml,the360.life,Technology,Enabled,,,article,,the360.life
https://weekly.ascii.jp/,https://weekly.ascii.jp/cate/1/rss.xml,週刊アスキー,Technology,Enabled,,,article,,weekly.ascii.jp
https://www.bbcjapanese.com,https://feeds.bbci.co.uk/japanese/rss.xml,BBC Japanese ,Top News,Enabled,,,article,,www.bbc.com
https://rocketnews24.com,https://rocketnews24.com/feed/,ロケットニュース24,Top News,Enabled,,,article,,rocketnews24.com
https://www.gizmodo.jp,https://www.gizmodo.jp/index.xml,ギズモード・ジャパン,Top News,Enabled,,,article,,www.gizmodo.jp
https://www.lifehacker.jp,https://www.lifehacker.jp/feed/index.xml,ライフハッカー［日本版］,Top News,Enabled,,,article,,www.lifehacker.jp
https://www.47news.jp/,https://nordot.app/-/feed/posts/rss?source_id=740522043530887168&curation_url=true,共同通信,Top News,Enabled,,,article,,nordot.app
https://www.newsweekjapan.jp/,https://www.newsweekjapan.jp/story/rss.xml,Newsweek日本版,Top News,Enabled,,,article,,www.newsweekjapan.jp
https://www.cnn.co.jp,https://feeds.cnn.co.jp/rss/cnn/cnn.rdf,CNN.co.jp,Business,Disabled,,,article,,www.cnn.co.jp
https://thebridge.jp,https://feeds.feedburner.com/SdJapan,BRIDGE,Business,Disabled,,,article,,thebridge.jp
https://gendai.ismedia.jp/list/feed/rss,https://gendai.ismedia.jp/list/feed/rss,現代ビジネス ,Business,Disabled,,,article,,gendai.ismedia.jp
https://jbpress.ismedia.jp/,https://jbpress.ismedia.jp/list/feed/rss,JBpress,Business,Disabled,,,article,,jbpress.ismedia.jp
https://markezine.jp/,https://markezine.jp/rss/new/20/index.xml,MarkeZine,Business,Disabled,,,article,,markezine.jp
https://next.rikunabi.com/journal/,https://next.rikunabi.com/journal/feed/,リクナビNEXTジャーナル,Business,Disabled,,,article,,next.rikunabi.com
https://president.jp/category/president/,https://president.jp/list/rss?cc=president,PRESIDENT Online,Business,Disabled,,,article,,president.jp
https://www.itmedia.co.jp/business/,https://rss.itmedia.co.jp/rss/2.0/business.xml,ITmedia ビジネスオンライン,Business,Disabled,,,article,,www.itmedia.co.jp
https://toyokeizai.net,https://toyokeizai.net/list/feed/rss,東洋経済オンライン ,Business,Disabled,,,article,,toyokeizai.net
https://www.dhbr.net/subcategory/Management/,https://www.dhbr.net/list/feed/rsssc?w=Management,DIAMOND ハーバード・ビジネス・レビュー,Business,Disabled,,,article,,www.dhbr.net
https://www.aol.com/,https://www.huffingtonpost.jp/feeds/index.xml,HuffPost Japan ,Business,Disabled,,,article,,www.huffingtonpost.jp
https://diamond.jp/category/dol/,https://diamond.jp/list/feed/rss/dol,ダイヤモンド・オンライン,Business,Disabled,,,article,,diamond.jp
https://r25.jp/,https://r25.jp/rss.xml,新R25 ,Business,Disabled,,,article,,r25.jp
https://www.businessinsider.jp/,https://www.businessinsider.jp/feed/index.xml,Business Insider Japan,Business,Disabled,,,article,,www.businessinsider.jp
https://autoc-one.jp/news/,https://autoc-one.jp/news/rss/,MOTA,Cars,Disabled,,,article,,autoc-one.jp
https://bestcarweb.jp/,https://bestcarweb.jp/feed,ベストカー,Cars,Disabled,,,article,,bestcarweb.jp
https://car.watch.impress.co.jp,https://car.watch.impress.co.jp/data/rss/1.0/car/feed.rdf,Car Watch,Cars,Disabled,,,article,,car.watch.impress.co.jp
https://www.autocar.jp/,https://www.autocar.jp/feed,AUTOCAR JAPANAUTOCAR JAPAN,Cars,Disabled,,,article,,www.autocar.jp
https://www.webcartop.jp/,https://www.webcartop.jp/feed/,WEB CARTOP,Cars,Disabled,,,article,,www.webcartop.jp
https://www.webcg.net/,https://www.webcg.net/list/feed/rss,webCG,Cars,Disabled,,,article,,www.webcg.net
https://bitcoin-newstart.com/,https://bitcoin-newstart.com/feed,仮想通貨の将来への可能性〜初心者から稼ぐ投資方法,Crypto,Disabled,,,article,,bitcoin-newstart.com
https://bittimes.net/,https://bittimes.net/feed,仮想通貨ニュースメディア ビットタイムズ,Crypto,Disabled,,,article,,bittimes.net
https://gaiax-blockchain.com/,https://gaiax-blockchain.com/feed,Blockchain Biz【Gaiax】,Crypto,Disabled,,,article,,gaiax-blockchain.com
https://coin-otaku.com/,https://coin-otaku.com/feed,COIN OTAKU,Crypto,Disabled,,,article,,coin-otaku.com
https://andpremium.jp/,https://andpremium.jp/feed/,& Premium,Culture,Disabled,,,article,,andpremium.jp
https://dailynewsagency.com/,https://dailynewsagency.com/feed/atom/,DNADNA,Culture,Disabled,,,article,,dailynewsagency.com
https://www.gqjapan.jp/,https://www.gqjapan.jp/feeds,GQ JAPAN,Culture,Disabled,,,article,,www.gqjapan.jp
https://intojapanwaraku.com/,https://intojapanwaraku.com/feed,和樂web,Culture,Disabled,,,article,,intojapanwaraku.com
https://hypebeast.com/jp/,https://hypebeast.com/jp/feed,HYPEBEAST.JP,Culture,Disabled,,,article,,hypebeast.com
https://kai-you.net/,https://kai-you.net/contents/feed.rss,KAI-YOU.net,Culture,Disabled,,,article,,kai-you.net;premium.kai-you.net
https://miyearnzzlabo.com/,https://miyearnzzlabo.com/feed,miyearnZZ Labo,Culture,Disabled,,,article,,miyearnzzlabo.com
https://omocoro.jp/,https://omocoro.jp/feed,オモコロ,Culture,Disabled,,,article,,omocoro.jp
https://tabi-labo.com/,https://tabi-labo.com/feed/,TABI LABO,Culture,Disabled,,,article,,tabi-labo.com
https://tocana.jp/,https://tocana.jp/index.xml,TOCANA,Culture,Disabled,,,article,,tocana.jp
https://www.fashion-press.net/,https://www.fashion-press.net/news/line.rss,ファッションプレス,Culture,Disabled,,,article,,www.fashion-press.net
https://www.fashionsnap.com,https://www.fashionsnap.com/rss.xml,FASHIONSNAP.COM,Culture,Disabled,,,article,,www.fashionsnap.com
https://www.roomie.jp,https://www.roomie.jp/feed/,ROOMIE,Culture,Disabled,,,article,,www.roomie.jp
https://www.shibukei.com/,https://www.shibukei.com/rss.xml,シブヤ経済新聞,Culture,Disabled,,,article,,www.shibukei.com
https://www.shift.jp.org/ja/,https://www.shift.jp.org/ja/atom.xml,SHIFT 日本語版,Culture,Disabled,,,article,,www.shift.jp.org
https://youpouch.com/,https://youpouch.com/feed/,Pouch［ポーチ］,Culture,Disabled,,,article,,youpouch.com
https://kinarino.jp/,https://kinarino.jp/?format=rss,キナリノ,Culture,Disabled,,,article,,kinarino.jp
https://www.cinra.net/,https://www.cinra.net/feed,CINRA.NET,Culture,Disabled,,,article,,www.cinra.net
https://japan.techinsight.jp,https://japan.techinsight.jp/feed,Techinsight,Entertainment,Disabled,,,article,,japan.techinsight.jp
https://www.cyzowoman.com/index.xml,https://www.cyzowoman.com/index.xml,サイゾーウーマン,Entertainment,Disabled,,,article,,www.cyzowoman.com
https://forzastyle.com/,https://forzastyle.com/list/feed/rss,FORZA STYLE,Fashion,Disabled,,,article,,forzastyle.com
https://mens.tasclap.jp/,https://mens.tasclap.jp/rss,TASCLAP,Fashion,Disabled,,,article,,mens.tasclap.jp
https://otokomaeken.com,https://otokomaeken.com/feed,OTOKOMAE,Fashion,Disabled,,,article,,otokomaeken.com
https://www.fashion-headline.com/,https://www.fashion-headline.com/rss/index.rdf,FASHION HEADLINE,Fashion,Disabled,,,article,,www.fashion-headline.com
https://cookien.com/,https://cookien.com/feed/,つくおき,Food,Disabled,,,article,,cookien.com
https://dt125kazuo.blog22.fc2.com/,https://dt125kazuo.blog22.fc2.com/?xml,魚料理と簡単レシピ,Food,Disabled,,,article,,dt125kazuo.blog22.fc2.com
https://entabe.jp/,https://entabe.jp/news/feed.rss,えん食べ,Food,Disabled,,,article,,entabe.jp
https://food-stadium.com/,https://food-stadium.com/rss.xml,フードスタジアム,Food,Disabled,,,article,,food-stadium.com
https://r.gnavi.co.jp/g-interview/,https://r.gnavi.co.jp/g-interview/feed,ぐるなび みんなのごはん,Food,Disabled,,,article,,r.gnavi.co.jp
https://ure.pia.co.jp/list/media?c=umai-niku/,https://ure.pia.co.jp/list/rss?media=umai-niku,うまい肉,Food,Disabled,,,article,,ure.pia.co.jp
https://www.hotpepper.jp/mesitsu/,https://www.hotpepper.jp/mesitsu/feed,メシ通 | ホットペッパーグルメ,Food,Disabled,,,article,,www.hotpepper.jp
https://www.inshokuten.com/foodist/,https://www.inshokuten.com/foodist/feed/,Foodist Media,Food,Disabled,,,article,,www.inshokuten.com;www.tenpodesign.com
https://www.nomooo.jp/,https://www.nomooo.jp/feed/,nomooo,Food,Disabled,,,article,,www.nomooo.jp
https://magazine.tabelog.com/,https://magazine.tabelog.com/feed,食べログマガジン,Food,Disabled,,,article,,magazine.tabelog.com
https://gooday.nikkei.co.jp/,https://gooday.nikkei.co.jp/rss/all.rdf,日経Gooday,Health,Disabled,,,article,,gooday.nikkei.co.jp
https://techtarget.itmedia.co.jp/tt/healthcare/,https://rss.itmedia.co.jp/rss/1.0/tt_healthcare.xml,TechTargetジャパン,Health,Disabled,,,article,,techtarget.itmedia.co.jp
https://tech.nikkeibp.co.jp/dm/ndh/,https://xtech.nikkei.com/dm/ndh/index.rdf,日経デジタルヘルス ,Health,Disabled,,,article,,xtech.nikkei.com
https://www.carenet.com/,https://www.carenet.com/rss/news/index.xml,CareNet.com医療ニュース,Health,Disabled,,,article,,www.carenet.com
https://www.mylohas.net,https://www.mylohas.net/atom.xml,MYLOHAS,Health,Disabled,,,article,,www.mylohas.net
https://100life.jp/,https://100life.jp/feed/,100%LiFE ,Home,Disabled,,,article,,100life.jp
https://www.realtokyoestate.co.jp/,https://www.realtokyoestate.co.jp/rss.php,東京Ｒ不動産,Home,Disabled,,,article,,www.realtokyoestate.co.jp
https://yadokari.net,https://yadokari.net/feed/,YADOKARI,Home,Disabled,,,article,,yadokari.net
https://bukkenfan.jp/,https://bukkenfan.jp/entries.atom,物件ファン,Home,Disabled,,,article,,bukkenfan.jp
https://www.jaxa.jp/,https://www.jaxa.jp/rss/new_j.rdf,JAXA 宇宙航空研究開発機構,Science,Disabled,,,article,,www.jaxa.jp
https://www.natureasia.com/ja-jp,https://www.natureasia.com/ja-jp/rss/nature,Nature ダイジェスト,Science,Disabled,,,article,,www.natureasia.com
https://www.nikkei-science.com,https://www.nikkei-science.com/?feed=rss2,日経サイエンス,Science,Disabled,,,article,,www.nikkei-science.com
https://www.riken.jp/feed/press_feed/,https://www.riken.jp/feed/press_feed/,プレスリリースニュース,Science,Disabled,,,article,,www.riken.jp
https://bio.nikkeibp.co.jp/,https://bio.nikkeibp.co.jp/rss/bio/index.rdf,日経バイオテクONLINE,Science,Disabled,,,article,,bio.nikkeibp.co.jp
https://nazology.net/,https://nazology.net/feed,ナゾロジー,Science,Disabled,,,article,,nazology.net
https://f1-gate.com/,https://f1-gate.com/rss2.xml,F1-Gate.com,Sports,Disabled,,,article,,f1-gate.com
https://number.bunshun.jp/category/column,https://number.bunshun.jp/list/rsscolumn,Number Web - 新着コラム,Sports,Disabled,,,article,,number.bunshun.jp
https://number.bunshun.jp/subcategory/%E3%81%9D%E3%81%AE%E4%BB%96%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84/column/,https://number.bunshun.jp/list/rsssports?w=%E3%81%9D%E3%81%AE%E4%BB%96%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84,Number Web - その他スポーツ ,Sports,Disabled,,,article,,number.bunshun.jp
https://number.bunshun.jp/subcategory/%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8/column/,https://number.bunshun.jp/list/rsssports?w=%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8,Number Web - サッカー日本代表,Sports,Disabled,,,article,,number.bunshun.jp
https://number.bunshun.jp/subcategory/%E3%83%97%E3%83%AD%E9%87%8E%E7%90%83/column/,https://number.bunshun.jp/list/rsssports?w=%E3%83%97%E3%83%AD%E9%87%8E%E7%90%83,Number Web - プロ野球,Sports,Disabled,,,article,,number.bunshun.jp
https://number.bunshun.jp/subcategory/%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84/column/,https://number.bunshun.jp/list/rsssports?w=%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84,Number Web - モータースポーツ,Sports,Disabled,,,article,,number.bunshun.jp
https://number.bunshun.jp/subcategory/J%E3%83%AA%E3%83%BC%E3%82%B0/column/,https://number.bunshun.jp/list/rsssports?w=J%E3%83%AA%E3%83%BC%E3%82%B0,Number Web - Jリーグ  ,Sports,Disabled,,,article,,number.bunshun.jp
https://samuraigoal.doorblog.jp/,https://samuraigoal.doorblog.jp/index.rdf,Samurai GOAL,Sports,Disabled,,,article,,samuraigoal.doorblog.jp
https://worldfn.net/,https://worldfn.net/index.rdf,WorldFootballNewS,Sports,Disabled,,,article,,worldfn.net
https://japan.zdnet.com,https://feeds.japan.zdnet.com/rss/zdnet/all.rdf,ZDNet Japan,Technology,Disabled,,,article,,japan.zdnet.com
https://gadget-shot.com/,https://gadget-shot.com/feed/,ガジェットショット,Technology,Disabled,,,article,,gadget-shot.com
https://developers-jp.googleblog.com/,https://developers-jp.googleblog.com/feeds/posts/default,Google Developers Japan,Technology,Disabled,,,article,,developers-jp.googleblog.com
https://japan.googleblog.com/,https://feeds.feedburner.com/GoogleJapanBlog,Google Japan Blog,Technology,Disabled,,,article,,japan.googleblog.com
https://gori.me/,https://gori.me/feed,ゴリミー,Technology,Disabled,,,article,,gori.me
https://internet.watch.impress.co.jp,https://internet.watch.impress.co.jp/data/rss/1.0/iw/feed.rdf,INTERNET Watch,Technology,Disabled,,,article,,internet.watch.impress.co.jp
https://iotnews.jp/,https://iotnews.jp/feed,IoT NEWS,Technology,Disabled,,,article,,iotnews.jp
https://pc.watch.impress.co.jp,https://pc.watch.impress.co.jp/data/rss/1.0/pcw/feed.rdf,PC Watch,Technology,Disabled,,,article,,pc.watch.impress.co.jp
https://qiita.com/popular-items/,https://qiita.com/popular-items/feed,Qiita ,Technology,Disabled,,,article,,qiita.com
