Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank
nationalgeographic.com.es,https://www.nationalgeographic.com.es/feeds/rss,National Geographic,Culture,Disabled,,,article,,www.nationalgeographic.com.es,Culture,48
libertaddigital.com,https://www.libertaddigital.com/rss.xml,Libertad Digital,Top News,Disabled,,,article,,www.libremercado.com;www.libertaddigital.com,Top News,49
definicion.de,https://definicion.de/feed/,Definicion,Top News,Disabled,,,article,,definicion.de,Top News,50
motor.es,https://www.motor.es/feed/,Motor.es,Cars,Disabled,,,article,,www.motor.es,Cars,51
esquire.com,https://www.esquire.com/es/rss/all/,Esquire,Culture,Disabled,,,article,,www.esquire.com,Culture,52
hardzone.es,https://hardzone.es/feed/,HardZone,Technology,Disabled,,,article,,hardzone.es,Technology,53
businessinsider.es,https://www.businessinsider.es/rss,BusinessInsider,Business,Disabled,,,article,,www.businessinsider.es,Business,54
digitaltrends.com,https://es.digitaltrends.com/feed/,DigitalTrends,Technology,Disabled,,,article,,es.digitaltrends.com,Technology,55
cnn.com,http://rss.cnn.com/rss/edition_europe.rss,CNN,World News,Disabled,,,article,,cnn.com,World News,56
diariodesevilla.es,https://www.diariodesevilla.es/rss/,Diario de Sevilla,Top News,Disabled,,,article,,www.diariodesevilla.es,Top News,57
lasprovincias.es,https://www.lasprovincias.es/rss/2.0/portada,Las Provincias,Top News,Disabled,,,article,,www.lasprovincias.es,Top News,58
elcomercio.pe,https://www.elcomercio.es/rss/2.0/portada,El Comercio,Top News,Disabled,,,article,,www.elcomercio.es,Top News,59
autobild.es,https://www.autobild.es/rss,Auto Bild España,Cars,Disabled,,,article,,www.autobild.es,Cars,60
telecinco.es,https://www.telecinco.es/rss.xml,Telecino,Entertainment,Disabled,,,article,,www.telecinco.es,Entertainment,61
formulatv.com,https://www.formulatv.com/xml/formulatv.xml,FormulaTV,Entertainment,Disabled,,,article,,www.formulatv.com,Entertainment,62
infobae.com,https://www.infobae.com/feeds/rss/,Infobae,Top News,Disabled,,,article,,www.infobae.com,Top News,63
muycomputer.com,https://www.muycomputer.com/feed/,MuyComputer,Technology,Disabled,,,article,,www.muycomputer.com,Technology,64
lainformacion.com,https://www.lainformacion.com/rss/,La Informacion,Top News,Disabled,,,article,,www.lainformacion.com,Top News,65
hipertextual.com,https://hipertextual.com/feed,Hipertextual,Technology,Disabled,,,article,,hipertextual.com,Technology,66
ondacero.es,https://www.ondacero.es/rss/8145.xml,Onda Cero,Top News,Disabled,,,article,,www.ondacero.es,Top News,67
cope.es,https://www.cope.es/api/es/news/rss.xml,Cope,Top News,Disabled,,,article,,www.cope.es,Top News,68
compuhoy.com,https://www.compuhoy.com/feed/,CompuHoy,Technology,Disabled,,,article,,www.compuhoy.com,Technology,69
publico.es,https://www.publico.es/rss,Público,Top News,Disabled,,,article,,www.publico.es;eldiariocantabria.publico.es;periodicoclm.publico.es;www.nortes.me,Top News,70
elotrolado.net,https://www.elotrolado.net/feed/,El Otro Lado,Gaming,Disabled,,,article,,www.elotrolado.net,Gaming,71
diariosur.es,https://www.diariosur.es/rss/2.0/portada,Sur,Top News,Disabled,,,article,,www.diariosur.es;malagaenfuturo.diariosur.es,Top News,72
ideal.es,https://www.ideal.es/rss/2.0/portada,Ideal,Top News,Disabled,,,article,,www.ideal.es,Top News,73
huffingtonpost.es,https://www.huffingtonpost.es/rss/index.xml,El HuffPost,Top News,Disabled,,,article,,www.huffingtonpost.es,Top News,74
